# Executed Hours Report for Gemini South 2018A
# Generated at 10 Aug 2018 12:29:49 GMT.
# Columns: Program ID,Allocated,Elapsed,Non-charged,Partner,Program
GS-2018A-Q-120,12.00,0.00,0.00,0.00,0.00
GS-2018A-Q-119,2.70,0.00,0.00,0.00,0.00
GS-2018A-Q-118,25.60,0.00,0.00,0.00,0.00
GS-2018A-Q-117,3.00,0.00,0.00,0.00,0.00
GS-2018A-Q-116,4.70,0.00,0.00,0.00,0.00
GS-2018A-Q-115,1.60,0.00,0.00,0.00,0.00
GS-2018A-Q-114,19.10,0.00,0.00,0.00,0.00
GS-2018A-Q-113,8.50,0.00,0.00,0.00,0.00
GS-2018A-Q-112,9.92,0.00,0.00,0.00,0.00
GS-2018A-Q-111,5.50,0.00,0.00,0.00,0.00
GS-2018A-Q-110,3.50,0.00,0.00,0.00,0.00
GS-2018A-Q-109,7.80,0.00,0.00,0.00,0.00
GS-2018A-Q-108,8.00,0.00,0.00,0.00,0.00
GS-2018A-Q-107,12.78,0.00,0.00,0.00,0.00
GS-2018A-Q-106,14.90,0.00,0.00,0.00,0.00
GS-2018A-Q-105,4.62,0.00,0.00,0.00,0.00
GS-2018A-Q-104,7.40,0.00,0.00,0.00,0.00
GS-2018A-Q-103,8.90,0.00,0.00,0.00,0.00
GS-2018A-Q-102,3.80,0.00,0.00,0.00,0.00
GS-2018A-Q-101,10.90,0.00,0.00,0.00,0.00
GS-2018A-LP-17,135.00,0.00,0.00,0.00,0.00
GS-2018A-LP-12,20.00,0.00,0.00,0.00,0.00
GS-2018A-LP-11,2.30,0.00,0.00,0.00,0.00
GS-2018A-LP-6,19.80,0.00,0.00,0.00,0.00
GS-2018A-LP-2,40.00,0.00,0.00,0.00,0.00
GS-2018A-LP-1,7.80,0.00,0.00,0.00,0.00
GS-2018A-FT-211,2.40,0.00,0.00,0.00,0.00
GS-2018A-FT-210,3.00,0.00,0.00,0.00,0.00
GS-2018A-FT-209,3.00,0.00,0.00,0.00,0.00
GS-2018A-FT-208,0.30,0.00,0.00,0.00,0.00
GS-2018A-FT-207,5.30,0.00,0.00,0.00,0.00
GS-2018A-FT-206,1.50,0.00,0.00,0.00,0.00
GS-2018A-FT-205,0.90,0.00,0.00,0.00,0.00
GS-2018A-FT-204,2.20,0.00,0.00,0.00,0.00
GS-2018A-FT-203,4.50,0.00,0.00,0.00,0.00
GS-2018A-FT-202,6.60,0.00,0.00,0.00,0.00
GS-2018A-FT-201,4.20,0.00,0.00,0.00,0.00
GS-2018A-FT-113,10.60,0.00,0.00,0.00,0.00
GS-2018A-FT-112,3.90,0.00,0.00,0.00,0.00
GS-2018A-FT-111,2.80,0.00,0.00,0.00,0.00
GS-2018A-FT-110,1.80,0.00,0.00,0.00,0.00
GS-2018A-FT-109,2.70,0.00,0.00,0.00,0.00
GS-2018A-FT-108,7.48,0.00,0.00,0.00,0.00
GS-2018A-FT-107,3.00,0.00,0.00,0.00,3.44
GS-2018A-FT-106,1.80,0.00,0.00,0.00,0.00
GS-2018A-FT-105,1.40,0.00,0.00,0.00,0.00
GS-2018A-FT-104,2.00,0.00,0.00,0.00,0.00
GS-2018A-FT-103,4.00,0.00,0.00,0.00,0.00
GS-2018A-FT-102,4.00,0.00,0.00,0.00,0.00
GS-2018A-FT-101,3.30,0.00,0.00,0.00,0.00
GS-2018A-DD-201,2.40,0.00,0.00,0.00,0.00
GS-2018A-DD-104,1.00,0.00,0.00,0.00,0.00
GS-2018A-DD-103,0.50,0.00,0.00,0.00,0.00
GS-2018A-DD-102,3.20,0.00,0.00,0.00,0.00
GS-2018A-DD-101,9.10,0.00,0.00,0.00,0.00
GS-2018A-C-2,1.60,0.00,0.00,0.00,0.00
GS-2018A-C-1,4.00,0.00,0.00,0.00,0.00
